S.no,BR.,Bus No,Route No.,Place,Type,Arr. Time,Dep. Time,To,From,Via
1,CNI,58N1949,27E,A,EXP,7.35,7.5,A.KOKKULAM,M.G.R.BUSSTAND  ,ANNA BS
2,CNI,58N1949,27E,A,EXP,15,15.2,A.KOKKULAM,M.G.R.BUSSTAND  ,ANNA BS
3,CNI,58N1949,27E,A,EXP,20.05,20.15,A.KOKKULAM,M.G.R.BUSSTAND  ,ANNA BS
4,PDR,58N1481,16F,A,SLF,6.4,6.45,AIRPORT,M.G.R.BUSSTAND  ,ANNA BS
5,PDR,58N1481,16F,A,SLF,16.5,16.55,AIRPORT,M.G.R.BUSSTAND  ,ANNA BS
6,PDR,58N0966,77BA,A,SLF,10,10.05,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
7,PDR,58N0966,77BA,A,SLF,13.3,14.3,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
8,PDR,58N0991,77BA,A,SLF,10.05,10.1,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
9,PDR,58N0991,77BA,A,SLF,11.15,11.18,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
10,PDR,58N0991,77BA,A,SLF,12.25,12.3,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
11,PDR,58N0991,77BA,A,SLF,16.35,17,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
12,MCB,58N1384,77BA,A,EXP,9.15,9.25,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
13,MCB,58N1384,77BA,A,EXP,10.36,10.4,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
14,ENR,58N1450,77BA,B,SLF,5.25,5.3,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
15,SIP,58N1458,77BS,C,SLF,0,5,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
16,SIP,58N1458,77BS,C,SLF,6.05,6.1,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
17,SIP,58N1458,77BS,C,SLF,7.15,7.25,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
18,SIP,58N1458,77BS,C,SLF,8.28,8.31,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
19,SIP,58N1458,77BS,C,SLF,9.34,9.37,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
20,SIP,58N1458,77BS,C,SLF,10.4,10.43,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
21,SIP,58N1458,77BS,C,SLF,11.46,11.56,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
22,SIP,58N1458,77BS,C,SLF,13.01,14.25,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
23,SIP,58N1458,77BS,C,SLF,15.31,15.41,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
24,SIP,58N1458,77BS,C,SLF,16.44,16.47,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
25,SIP,58N1458,77BS,C,SLF,17.5,17.53,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
26,SIP,58N1458,77BS,C,SLF,18.56,18.59,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
27,SIP,58N1458,77BS,C,SLF,20.02,20.12,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
28,SIP,58N1458,77BS,C,SLF,21.2,21.25,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
29,PDR,58N1460,77BA,E,SLF,14.05,14.23,ARAPPALAYAM,M.G.R.BUSSTAND  ,ANNA BS
